sep=,
"Time","INV_DC_Bus_Voltage","INV_DC_Bus_Current"
2025-06-03 18:56:32,0 Volts,0 Amps
2025-06-03 18:56:32,0 Volts,0 Amps
2025-06-03 18:56:32,0.0400 Volts,0 Amps
2025-06-03 18:56:32,0.0400 Volts,0 Amps
2025-06-03 18:56:32,0 Volts,0 Amps
2025-06-03 18:56:32,0 Volts,0 Amps
2025-06-03 18:56:32,0.0400 Volts,0 Amps
2025-06-03 18:56:32,0.0600 Volts,0 Amps
2025-06-03 18:56:32,0 Volts,0 Amps
2025-06-03 18:56:33,0.0200 Volts,0 Amps
2025-06-03 18:56:33,0 Volts,0 Amps
2025-06-03 18:56:33,0.0333 Volts,0 Amps
2025-06-03 18:56:33,0.0250 Volts,0 Amps
2025-06-03 18:56:33,0 Volts,0 Amps
2025-06-03 18:56:33,0.0400 Volts,0 Amps
2025-06-03 18:56:33,0.0200 Volts,0 Amps
2025-06-03 18:56:33,0.0250 Volts,0 Amps
2025-06-03 18:56:33,0 Volts,0 Amps
2025-06-03 18:56:33,0.0200 Volts,0 Amps
2025-06-03 18:56:34,0 Volts,0 Amps
2025-06-03 18:56:34,0.0200 Volts,0 Amps
2025-06-03 18:56:34,0 Volts,0 Amps
2025-06-03 18:56:34,0.0250 Volts,0 Amps
2025-06-03 18:56:34,0.0167 Volts,0 Amps
2025-06-03 18:56:34,0.0200 Volts,0 Amps
2025-06-03 18:56:34,0 Volts,0 Amps
2025-06-03 18:56:34,0.0200 Volts,0 Amps
2025-06-03 18:56:34,0 Volts,0 Amps
2025-06-03 18:56:34,0 Volts,0 Amps
2025-06-03 18:56:35,0.0600 Volts,0 Amps
2025-06-03 18:56:35,0.0600 Volts,0 Amps
2025-06-03 18:56:35,0 Volts,0 Amps
2025-06-03 18:56:35,0.0800 Volts,0 Amps
2025-06-03 18:56:35,0 Volts,0 Amps
2025-06-03 18:56:35,0.0500 Volts,0 Amps
2025-06-03 18:56:35,0.0167 Volts,0 Amps
2025-06-03 18:56:35,0.0400 Volts,0 Amps
2025-06-03 18:56:35,0.0600 Volts,0 Amps
2025-06-03 18:56:35,0.0750 Volts,0 Amps
2025-06-03 18:56:36,0.0200 Volts,0 Amps
2025-06-03 18:56:36,0 Volts,0 Amps
2025-06-03 18:56:36,0.0333 Volts,0 Amps
2025-06-03 18:56:36,0.0250 Volts,0 Amps
2025-06-03 18:56:36,0.0600 Volts,0 Amps
2025-06-03 18:56:36,0.0200 Volts,0 Amps
2025-06-03 18:56:36,0.0400 Volts,0 Amps
2025-06-03 18:56:36,0.0250 Volts,0 Amps
2025-06-03 18:56:36,0 Volts,0 Amps
2025-06-03 18:56:36,0 Volts,0 Amps
2025-06-03 18:56:37,0.0400 Volts,0 Amps
2025-06-03 18:56:37,0.0250 Volts,0 Amps
2025-06-03 18:56:37,0.0200 Volts,0 Amps
2025-06-03 18:56:37,0.0500 Volts,0 Amps
2025-06-03 18:56:37,0 Volts,0 Amps
2025-06-03 18:56:37,0 Volts,0 Amps
2025-06-03 18:56:37,0.0600 Volts,0 Amps
2025-06-03 18:56:37,0 Volts,0 Amps
2025-06-03 18:56:37,0.0200 Volts,0 Amps
2025-06-03 18:56:37,0.0250 Volts,0 Amps
2025-06-03 18:56:38,0.0400 Volts,0 Amps
2025-06-03 18:56:38,0.0400 Volts,0 Amps
2025-06-03 18:56:38,0.0200 Volts,0 Amps
2025-06-03 18:56:38,0.0200 Volts,0 Amps
2025-06-03 18:56:38,0 Volts,0 Amps
2025-06-03 18:56:38,0.0250 Volts,0 Amps
2025-06-03 18:56:38,0.0500 Volts,0 Amps
2025-06-03 18:56:38,0 Volts,0 Amps
2025-06-03 18:56:38,0 Volts,0 Amps
2025-06-03 18:56:38,61.4 Volts,0 Amps
2025-06-03 18:56:39,166 Volts,0 Amps
2025-06-03 18:56:39,233 Volts,0 Amps
2025-06-03 18:56:39,279 Volts,0 Amps
2025-06-03 18:56:39,315 Volts,0 Amps
2025-06-03 18:56:39,339 Volts,0 Amps
2025-06-03 18:56:39,355 Volts,0 Amps
2025-06-03 18:56:39,365 Volts,0 Amps
2025-06-03 18:56:39,371 Volts,0 Amps
2025-06-03 18:56:39,377 Volts,0 Amps
2025-06-03 18:56:39,381 Volts,0 Amps
2025-06-03 18:56:40,383 Volts,0 Amps
2025-06-03 18:56:40,385 Volts,0 Amps
2025-06-03 18:56:40,386 Volts,0 Amps
2025-06-03 18:56:40,386 Volts,0 Amps
2025-06-03 18:56:40,387 Volts,0 Amps
2025-06-03 18:56:40,387 Volts,0 Amps
2025-06-03 18:56:40,388 Volts,0 Amps
2025-06-03 18:56:40,388 Volts,0 Amps
2025-06-03 18:56:40,388 Volts,0 Amps
2025-06-03 18:56:40,388 Volts,0 Amps
2025-06-03 18:56:41,388 Volts,0 Amps
2025-06-03 18:56:41,393 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:41,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:42,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:43,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:44,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:45,395 Volts,0 Amps
2025-06-03 18:56:45,396 Volts,0 Amps
2025-06-03 18:56:46,396 Volts,0 Amps
2025-06-03 18:56:46,396 Volts,0 Amps
2025-06-03 18:56:46,396 Volts,0 Amps
2025-06-03 18:56:46,396 Volts,0 Amps
2025-06-03 18:56:46,395 Volts,0.260 Amps
2025-06-03 18:56:46,395 Volts,0.520 Amps
2025-06-03 18:56:46,395 Volts,0.400 Amps
2025-06-03 18:56:46,395 Volts,0.0400 Amps
2025-06-03 18:56:46,395 Volts,-0.175 Amps
2025-06-03 18:56:46,395 Volts,-0.180 Amps
2025-06-03 18:56:47,395 Volts,-0.140 Amps
2025-06-03 18:56:47,395 Volts,-0.0200 Amps
2025-06-03 18:56:47,395 Volts,0 Amps
2025-06-03 18:56:47,395 Volts,0.220 Amps
2025-06-03 18:56:47,395 Volts,0.200 Amps
2025-06-03 18:56:47,395 Volts,0.167 Amps
2025-06-03 18:56:47,395 Volts,0.225 Amps
2025-06-03 18:56:47,395 Volts,0.360 Amps
2025-06-03 18:56:47,395 Volts,0.600 Amps
2025-06-03 18:56:47,395 Volts,0.480 Amps
2025-06-03 18:56:48,395 Volts,0.450 Amps
2025-06-03 18:56:48,395 Volts,0.660 Amps
2025-06-03 18:56:48,395 Volts,0.720 Amps
2025-06-03 18:56:48,395 Volts,0.940 Amps
