sep=,
"Time","INV_Phase_A_Current","INV_Phase_B_Current","INV_Phase_C_Current"
2025-06-03 18:56:34,-0.0750,-0.225,0.150
2025-06-03 18:56:34,-0.100,-0.0500,-0.0500
2025-06-03 18:56:34,0.183,0.167,-0.0333
2025-06-03 18:56:34,0.140,0.100,0.0600
2025-06-03 18:56:34,-0.300,-0.150,0.100
2025-06-03 18:56:34,-0.200,-0.180,0
2025-06-03 18:56:34,0.140,0.0400,-0.0400
2025-06-03 18:56:34,0.375,0.350,0.100
2025-06-03 18:56:35,-0.0200,0.0400,-0.120
2025-06-03 18:56:35,0.0200,-0.160,0.0200
2025-06-03 18:56:35,0.267,0.100,-0.200
2025-06-03 18:56:35,-0.220,0.0200,-0.320
2025-06-03 18:56:35,0.250,0.0250,-0.450
2025-06-03 18:56:35,0.0750,-0.0500,0.150
2025-06-03 18:56:35,-0.350,-0.0667,-0.150
2025-06-03 18:56:35,0.0400,0.0200,0.0600
2025-06-03 18:56:35,-0.0600,-0.0400,0.100
2025-06-03 18:56:35,0.625,0.225,0
2025-06-03 18:56:36,0.0600,0.160,-0.0400
2025-06-03 18:56:36,-0.100,-0.200,-0.175
2025-06-03 18:56:36,0.367,0.267,0.0500
2025-06-03 18:56:36,0.525,0.400,0.125
2025-06-03 18:56:36,0,0.0400,0.160
2025-06-03 18:56:36,-0.0600,-0.0400,-0.0200
2025-06-03 18:56:36,0.0200,0.0800,-0.0400
2025-06-03 18:56:36,-0.125,-0.225,-0.0250
2025-06-03 18:56:36,0.220,0.0400,0.0600
2025-06-03 18:56:36,0.0400,-0.0800,0.180
2025-06-03 18:56:37,0.200,0.320,-0.0200
2025-06-03 18:56:37,-0.150,-0.275,-0.250
2025-06-03 18:56:37,-2.22e-17,-0.0600,-0.100
2025-06-03 18:56:37,-0.125,-0.125,-0.200
2025-06-03 18:56:37,-0.150,0.0167,0.0833
2025-06-03 18:56:37,0.125,-0.125,0.0750
2025-06-03 18:56:37,0.220,-0.0200,0.120
2025-06-03 18:56:37,-0.180,-0.0600,-0.0400
2025-06-03 18:56:37,0.0600,-0.0400,0.140
2025-06-03 18:56:37,0.150,-6.94e-18,0.0500
2025-06-03 18:56:38,-0.0200,0.280,0.0800
2025-06-03 18:56:38,-0.0200,0.200,0.120
2025-06-03 18:56:38,-0.0200,-0.100,0.0400
2025-06-03 18:56:38,-0.140,0.0600,-0.100
2025-06-03 18:56:38,-0.400,0.0250,-0.0250
2025-06-03 18:56:38,0.250,0.200,0.225
2025-06-03 18:56:38,0.400,0.217,0.100
2025-06-03 18:56:38,-0.200,0.120,-0.180
2025-06-03 18:56:38,-0.325,0.0750,0.0500
2025-06-03 18:56:38,-0.360,-0.240,-0.140
2025-06-03 18:56:39,0.180,0.160,0.140
2025-06-03 18:56:39,-0.100,-0.0500,0.0250
2025-06-03 18:56:39,0.300,0.0600,-0.120
2025-06-03 18:56:39,-0.380,0.120,0.0800
2025-06-03 18:56:39,-0.0200,0.0600,0.120
2025-06-03 18:56:39,-0.140,0.0200,0.0400
2025-06-03 18:56:39,0.0500,0.0250,0.175
2025-06-03 18:56:39,0.350,0.100,-0.125
2025-06-03 18:56:39,-0.167,-0.0500,0.0500
2025-06-03 18:56:39,-0.180,-0.140,-0.240
2025-06-03 18:56:40,-0.0200,0.180,0.120
2025-06-03 18:56:40,0.0500,-0.0500,0.0750
2025-06-03 18:56:40,-0.120,-0.0800,0
2025-06-03 18:56:40,-0.350,-0.0750,-0.0250
2025-06-03 18:56:40,-0.133,-4.63e-18,0.0833
2025-06-03 18:56:40,-0.0500,-0.125,-0.0250
2025-06-03 18:56:40,0.220,-0.0400,0
2025-06-03 18:56:40,-1.11e-17,0.140,-0.0400
2025-06-03 18:56:40,0.0400,-0.0600,0.300
2025-06-03 18:56:40,-0.150,0.125,-0.0750
2025-06-03 18:56:41,-0.0800,-0.160,-0.120
2025-06-03 18:56:41,0.180,0.100,0
2025-06-03 18:56:41,0.440,0.140,0.200
2025-06-03 18:56:41,0.250,-0.150,0.175
2025-06-03 18:56:41,0.240,0.100,-0.0400
2025-06-03 18:56:41,0.150,0.225,0.100
2025-06-03 18:56:41,-0.0167,-0.183,-0.0833
2025-06-03 18:56:41,-0.125,-0.100,-0.0500
2025-06-03 18:56:41,0.120,0.0200,0.160
2025-06-03 18:56:41,0.0600,-0.0400,-0.220
2025-06-03 18:56:42,0.0400,0.0200,0.0600
2025-06-03 18:56:42,-0.175,0.0500,0
2025-06-03 18:56:42,0.380,0.100,0.0400
2025-06-03 18:56:42,0.360,-0.0200,-0.0600
2025-06-03 18:56:42,-0.280,-0.120,-0.0200
2025-06-03 18:56:42,0.240,0.0400,0.120
2025-06-03 18:56:42,-0.150,0.125,0.375
2025-06-03 18:56:42,0.325,0.150,-0.0500
2025-06-03 18:56:42,-0.133,-0.0833,0
2025-06-03 18:56:42,-5.55e-18,-0.240,0.280
2025-06-03 18:56:43,-0.0250,0.0250,-0.100
2025-06-03 18:56:43,0.100,0.0800,0.0400
2025-06-03 18:56:43,0.0200,0.0800,0.0400
2025-06-03 18:56:43,0.0250,0.200,-0.0500
2025-06-03 18:56:43,-0.300,-0.0800,-0.100
2025-06-03 18:56:43,-0.200,0.0600,-0.200
2025-06-03 18:56:43,-0.360,-0.120,0.0400
2025-06-03 18:56:43,0.400,0.240,0.320
2025-06-03 18:56:43,-0.175,0.225,-0.0750
2025-06-03 18:56:43,-0.225,-0.375,0.150
2025-06-03 18:56:44,0.0167,0.0167,0.0333
2025-06-03 18:56:44,-0.280,-0.0800,-0.180
2025-06-03 18:56:44,-0.0200,0.0600,0.240
2025-06-03 18:56:44,-0.250,-0.250,-0.100
2025-06-03 18:56:44,0.0800,-0.160,-0.100
2025-06-03 18:56:44,0.225,-0.0500,-0.0500
2025-06-03 18:56:44,0.283,0.200,0.0833
2025-06-03 18:56:44,0.0250,0.0500,0.550
2025-06-03 18:56:44,-0.320,-0.100,0.120
2025-06-03 18:56:44,-0.300,-0.180,0.180
2025-06-03 18:56:45,0.0200,-0.160,-0.160
2025-06-03 18:56:45,0.0250,-0.0500,0.125
2025-06-03 18:56:45,0.0400,0.140,0.120
2025-06-03 18:56:45,0.0600,-0.0800,-0.260
